datetime	CPU [%]	Memory [GB]
11:38:50 02/06/2021	1932.05	38.6631
11:39:08 02/06/2021	1934.7	38.6939
11:39:26 02/06/2021	1759.95	38.7133
11:39:44 02/06/2021	1949.85	38.7807
11:40:02 02/06/2021	1797.3	38.709
11:40:20 02/06/2021	1962.05	38.6986
11:40:38 02/06/2021	1827.2	38.6716
11:40:57 02/06/2021	1717.5	38.7305
11:41:15 02/06/2021	1971.95	38.7092
11:41:33 02/06/2021	1849.8	38.9965
11:41:51 02/06/2021	1984.6	39.2506
11:42:09 02/06/2021	2084.4	39.3943
11:42:27 02/06/2021	1887.25	39.4557
11:42:45 02/06/2021	1934.75	39.3898
11:43:03 02/06/2021	1877.2	39.2111
11:43:21 02/06/2021	1712.45	39.256
11:43:39 02/06/2021	2017.1	39.4777
11:43:57 02/06/2021	1802.35	39.7147
11:44:15 02/06/2021	1857.35	40.0022
11:44:33 02/06/2021	2004.4	40.1368
11:44:51 02/06/2021	1754.95	40.1761
11:45:09 02/06/2021	1625.15	40.2626
11:45:27 02/06/2021	2064.5	40.4581
11:45:45 02/06/2021	1877.15	40.6919
11:46:03 02/06/2021	1702.6	40.8629
11:46:22 02/06/2021	1799.7	41.1047
11:46:40 02/06/2021	2104.35	41.3717
11:46:58 02/06/2021	1794.9	41.6559
11:47:16 02/06/2021	1642.6	41.9004
11:47:34 02/06/2021	1951.95	41.8855
11:47:52 02/06/2021	1792.4	41.856
11:48:10 02/06/2021	1929.65	41.7054
11:48:28 02/06/2021	1974.65	41.6919
11:48:46 02/06/2021	1939.7	41.7588
11:49:04 02/06/2021	2284.1	41.8366
11:49:22 02/06/2021	2291.6	41.8427
11:49:40 02/06/2021	1827.2	41.7868
11:49:58 02/06/2021	1722.45	41.8435
11:50:16 02/06/2021	2106.8	41.8468
11:50:34 02/06/2021	1804.85	41.7012
11:50:52 02/06/2021	1817.35	41.5621
11:51:10 02/06/2021	1909.75	41.4222
11:51:29 02/06/2021	2940.75	41.4153
11:51:47 02/06/2021	1760.0	41.4259
11:52:05 02/06/2021	1864.85	41.5618
11:52:23 02/06/2021	2149.45	41.3685
11:52:41 02/06/2021	1762.45	41.1114
11:52:59 02/06/2021	1779.8	41.0708
11:53:17 02/06/2021	1999.65	41.1969
11:53:35 02/06/2021	1814.85	41.2876
11:53:53 02/06/2021	2281.65	41.5641
11:54:11 02/06/2021	1944.6	42.0693
11:54:29 02/06/2021	1702.4	40.3678
11:54:47 02/06/2021	1844.65	40.2554
11:55:05 02/06/2021	2326.55	41.1394
11:55:23 02/06/2021	2186.7	39.6328
11:55:40 02/06/2021	1562.75	33.3637
11:55:58 02/06/2021	1884.7	32.6171
11:56:16 02/06/2021	2024.4	34.46
11:56:34 02/06/2021	2044.5	33.9584
11:56:52 02/06/2021	1799.8	35.4443
11:57:10 02/06/2021	1892.15	36.4602
11:57:28 02/06/2021	1754.95	37.095
11:57:46 02/06/2021	1969.6	37.5593
11:58:04 02/06/2021	1837.35	38.0674
11:58:22 02/06/2021	1762.45	36.9451
11:58:40 02/06/2021	1782.25	35.9304
11:58:58 02/06/2021	1904.7	36.2673
11:59:16 02/06/2021	1954.75	36.7515
11:59:34 02/06/2021	1769.9	37.9197
11:59:52 02/06/2021	1869.8	38.7703
12:00:10 02/06/2021	1814.9	39.4125
12:00:28 02/06/2021	1864.85	39.9386
12:00:46 02/06/2021	1682.45	34.8973
12:01:04 02/06/2021	2014.65	34.6517
12:01:22 02/06/2021	1892.35	35.6546
12:01:40 02/06/2021	1909.7	36.2057
12:01:58 02/06/2021	2071.9	36.5172
12:02:16 02/06/2021	1752.6	36.8001
12:02:34 02/06/2021	1837.35	37.0093
12:02:52 02/06/2021	1824.85	37.1927
12:03:10 02/06/2021	1932.25	37.352
12:03:28 02/06/2021	1874.65	37.4429
12:03:47 02/06/2021	1944.6	37.5115
12:04:05 02/06/2021	1752.4	37.5254
12:04:23 02/06/2021	1699.9	37.4973
12:04:41 02/06/2021	1807.2	37.4716
12:04:59 02/06/2021	1822.25	37.4486
12:05:17 02/06/2021	1899.8	37.3727
12:05:35 02/06/2021	1844.75	37.2242
12:05:53 02/06/2021	1789.95	37.1052
12:06:11 02/06/2021	1879.7	36.9476
12:06:29 02/06/2021	1844.8	36.7493
12:06:47 02/06/2021	1847.25	36.579
12:07:05 02/06/2021	1832.4	36.439
12:07:23 02/06/2021	1859.7	36.2053
12:07:41 02/06/2021	2259.1	35.9034
12:07:59 02/06/2021	1912.15	35.5609
12:08:17 02/06/2021	2066.7	35.2223
12:08:35 02/06/2021	1899.6	34.8239
12:08:53 02/06/2021	1959.25	34.3491
12:09:12 02/06/2021	1684.8	33.8944
12:09:30 02/06/2021	1687.6	33.4764
12:09:48 02/06/2021	1856.8	33.053
12:10:06 02/06/2021	1914.55	32.6189
12:10:24 02/06/2021	1894.4	32.2548
12:10:42 02/06/2021	1866.75	31.8751
12:11:00 02/06/2021	2129.35	31.5619
12:11:18 02/06/2021	1849.5	31.2137
12:11:36 02/06/2021	1937.05	30.8762
12:11:54 02/06/2021	1510.2	30.6108
12:12:12 02/06/2021	1879.7	30.3929
12:12:30 02/06/2021	1812.3	30.146
12:12:48 02/06/2021	1852.3	29.8102
12:13:06 02/06/2021	1952.1	29.4181
12:13:24 02/06/2021	1802.05	29.1229
12:13:42 02/06/2021	1794.75	28.9526
12:14:00 02/06/2021	2131.8	28.7657
12:14:18 02/06/2021	1879.85	28.6666
12:14:36 02/06/2021	1839.85	28.641
12:14:55 02/06/2021	2029.45	28.4222
12:15:13 02/06/2021	1817.3	28.1811
12:15:31 02/06/2021	1942.2	27.8119
12:15:49 02/06/2021	1852.25	27.4615
12:16:07 02/06/2021	1797.35	27.2616
12:16:25 02/06/2021	1655.1	27.085
12:16:43 02/06/2021	1707.35	26.7939
12:17:01 02/06/2021	1919.7	26.6341
12:17:19 02/06/2021	1937.15	26.6374
12:17:37 02/06/2021	1932.15	26.5801
12:17:55 02/06/2021	1924.65	26.5653
12:18:13 02/06/2021	1897.2	26.3548
12:18:31 02/06/2021	1814.8	26.1336
12:18:49 02/06/2021	1902.2	26.0453
12:19:07 02/06/2021	1892.25	25.9953
12:19:25 02/06/2021	1957.2	26.168
