datetime	CPU [%]	Memory [GB]
13:59:49 02/06/2021	1827.25	35.2916
14:00:06 02/06/2021	1672.55	32.7643
14:00:24 02/06/2021	1727.45	34.4821
14:00:42 02/06/2021	2224.25	35.0632
14:01:00 02/06/2021	2199.25	35.508
14:01:18 02/06/2021	1942.2	35.597
14:01:36 02/06/2021	1917.2	34.5586
14:01:54 02/06/2021	1962.15	33.9789
14:02:13 02/06/2021	1924.65	34.339
14:02:31 02/06/2021	2151.9	34.435
14:02:49 02/06/2021	1777.4	34.5929
14:03:07 02/06/2021	1996.95	34.5869
14:03:25 02/06/2021	1747.35	34.5341
14:03:43 02/06/2021	1937.15	34.4811
14:04:01 02/06/2021	1797.3	34.4663
14:04:19 02/06/2021	2042.0	34.4086
14:04:37 02/06/2021	1799.95	34.2299
14:04:55 02/06/2021	1902.05	34.1071
14:05:13 02/06/2021	1754.95	34.0614
14:05:31 02/06/2021	1894.8	33.8937
14:05:49 02/06/2021	2111.7	32.6404
14:06:07 02/06/2021	1877.2	32.1564
14:06:25 02/06/2021	1929.65	30.6826
14:06:43 02/06/2021	1852.25	31.6534
14:07:02 02/06/2021	1842.25	32.0948
14:07:20 02/06/2021	1927.15	32.3112
14:07:38 02/06/2021	1899.65	32.3906
14:07:55 02/06/2021	1602.7	29.7824
14:08:13 02/06/2021	1749.85	31.5087
14:08:31 02/06/2021	1984.5	32.1447
14:08:49 02/06/2021	1697.5	32.4548
14:09:07 02/06/2021	1874.7	32.5653
14:09:25 02/06/2021	1984.65	32.6937
14:09:43 02/06/2021	2022.1	32.6962
14:10:02 02/06/2021	1962.15	32.6726
14:10:20 02/06/2021	2067.0	32.6716
14:10:38 02/06/2021	1972.1	32.5896
14:10:56 02/06/2021	2114.4	32.6578
14:11:14 02/06/2021	1889.7	32.8076
14:11:32 02/06/2021	1957.1	32.9782
14:11:50 02/06/2021	2021.9	32.9856
14:12:08 02/06/2021	1849.8	32.9551
14:12:26 02/06/2021	2151.85	32.8629
14:12:44 02/06/2021	1852.2	32.822
14:13:02 02/06/2021	1922.15	32.8984
14:13:20 02/06/2021	1822.3	33.0974
14:13:38 02/06/2021	1722.45	33.1535
14:13:56 02/06/2021	2199.15	33.0325
14:14:14 02/06/2021	2189.15	32.8149
14:14:33 02/06/2021	1807.3	32.5841
14:14:51 02/06/2021	1867.3	32.3149
14:15:09 02/06/2021	1902.2	32.0126
14:15:27 02/06/2021	1650.1	31.8007
14:15:45 02/06/2021	1852.25	31.6299
14:16:03 02/06/2021	1919.65	31.4379
14:16:21 02/06/2021	1882.2	31.3087
14:16:39 02/06/2021	2066.95	31.2037
14:16:57 02/06/2021	1842.3	30.8109
14:17:15 02/06/2021	1999.45	30.4757
14:17:33 02/06/2021	2012.05	30.3111
14:17:51 02/06/2021	1867.2	30.1837
14:18:08 02/06/2021	1517.75	28.4969
14:18:26 02/06/2021	2161.9	28.9476
14:18:45 02/06/2021	1882.25	29.7856
14:19:03 02/06/2021	2007.15	30.3362
14:19:21 02/06/2021	1725.0	30.7588
14:19:39 02/06/2021	1717.45	30.9254
14:19:57 02/06/2021	1762.35	31.0112
14:20:15 02/06/2021	1822.25	30.8758
14:20:33 02/06/2021	1857.15	30.7399
14:20:51 02/06/2021	1842.15	30.7843
14:21:09 02/06/2021	1907.2	30.7145
14:21:27 02/06/2021	1917.1	30.4854
14:21:45 02/06/2021	1812.4	30.3348
14:22:03 02/06/2021	1725.0	30.364
14:22:21 02/06/2021	1922.2	30.4149
14:22:39 02/06/2021	1939.75	30.3683
14:22:57 02/06/2021	1864.75	30.4266
14:23:15 02/06/2021	1837.3	30.1906
14:23:33 02/06/2021	1844.85	30.1126
14:23:51 02/06/2021	1962.15	30.1194
14:24:10 02/06/2021	2077.1	30.0571
14:24:28 02/06/2021	1777.35	29.8476
14:24:46 02/06/2021	1892.45	29.5616
14:25:04 02/06/2021	1967.05	29.3302
14:25:22 02/06/2021	1622.7	29.4656
14:25:40 02/06/2021	2374.1	30.4878
14:25:58 02/06/2021	1984.55	31.1662
14:26:16 02/06/2021	1994.5	31.5931
14:26:34 02/06/2021	2032.1	31.9207
14:26:52 02/06/2021	1937.15	31.8661
14:27:10 02/06/2021	1939.6	31.7664
14:27:28 02/06/2021	2044.5	31.921
14:27:46 02/06/2021	2034.5	32.1735
14:28:04 02/06/2021	2131.75	32.1894
14:28:22 02/06/2021	1612.75	32.0509
14:28:41 02/06/2021	1849.75	31.9978
14:28:59 02/06/2021	1984.55	32.2921
14:29:17 02/06/2021	1922.2	32.552
14:29:35 02/06/2021	2047.1	32.5194
14:29:53 02/06/2021	1997.1	32.4421
14:30:11 02/06/2021	1894.7	32.4186
14:30:29 02/06/2021	1675.15	32.4684
14:30:47 02/06/2021	1924.7	32.55
14:31:05 02/06/2021	1912.25	32.6744
14:31:23 02/06/2021	1857.1	32.8618
14:31:41 02/06/2021	2019.55	33.165
14:31:59 02/06/2021	2249.15	33.2983
14:32:17 02/06/2021	1819.9	33.4536
14:32:35 02/06/2021	1827.25	33.6459
14:32:53 02/06/2021	1877.2	33.9296
14:33:11 02/06/2021	1857.2	34.0978
14:33:30 02/06/2021	1904.55	34.0486
14:33:48 02/06/2021	1894.6	34.1683
14:34:06 02/06/2021	1807.4	34.2413
14:34:24 02/06/2021	2189.2	34.1381
14:34:42 02/06/2021	2089.45	34.2623
14:35:00 02/06/2021	1762.35	34.3609
14:35:18 02/06/2021	1944.5	34.4821
14:35:36 02/06/2021	1864.65	34.4553
14:35:54 02/06/2021	1784.95	34.2412
14:36:12 02/06/2021	2056.85	34.1421
14:36:30 02/06/2021	1869.65	34.1549
14:36:48 02/06/2021	1969.55	35.0548
14:37:06 02/06/2021	2216.8	35.8202
14:37:24 02/06/2021	1794.85	36.4024
14:37:42 02/06/2021	2022.05	36.8417
14:38:00 02/06/2021	1844.75	37.1831
14:38:18 02/06/2021	1802.25	37.4898
14:38:37 02/06/2021	1764.85	37.6635
14:38:55 02/06/2021	1687.6	37.647
14:39:13 02/06/2021	2214.15	37.5891
14:39:31 02/06/2021	1949.65	38.5249
14:39:49 02/06/2021	2246.8	39.1436
14:40:07 02/06/2021	1597.55	39.4579
14:40:25 02/06/2021	2401.45	39.9309
14:40:43 02/06/2021	1839.75	40.3944
14:41:01 02/06/2021	2116.8	40.8097
14:41:18 02/06/2021	3404.7	38.5286
14:41:36 02/06/2021	1717.6	37.8873
14:41:54 02/06/2021	2116.8	38.8695
14:42:12 02/06/2021	2101.8	39.2078
14:42:31 02/06/2021	2074.4	39.4891
14:42:49 02/06/2021	1647.45	39.7414
14:43:07 02/06/2021	2006.95	39.9146
14:43:25 02/06/2021	1799.85	40.0838
14:43:43 02/06/2021	1672.45	40.2646
14:44:01 02/06/2021	2144.35	40.3331
14:44:19 02/06/2021	1884.7	40.3668
14:44:37 02/06/2021	1839.8	40.2921
14:44:55 02/06/2021	1779.95	40.1964
14:45:13 02/06/2021	2049.35	40.3075
14:45:31 02/06/2021	1847.25	40.4748
14:45:49 02/06/2021	1957.1	40.4755
14:46:07 02/06/2021	2067.15	40.3382
14:46:25 02/06/2021	1677.6	37.9389
14:46:43 02/06/2021	1897.25	39.4169
14:47:01 02/06/2021	1842.3	40.1037
14:47:19 02/06/2021	1834.7	40.4258
14:47:37 02/06/2021	1759.95	40.511
14:47:55 02/06/2021	1777.4	40.4708
14:48:13 02/06/2021	1932.2	40.5033
14:48:31 02/06/2021	2186.75	40.57
14:48:49 02/06/2021	1744.95	40.8084
14:49:07 02/06/2021	2124.4	38.5391
14:49:26 02/06/2021	1794.85	36.946
14:49:44 02/06/2021	1942.2	37.4115
14:50:02 02/06/2021	1657.55	37.6726
14:50:20 02/06/2021	1997.2	37.8021
14:50:38 02/06/2021	2374.35	37.6474
14:50:55 02/06/2021	1777.45	37.5306
14:51:13 02/06/2021	1777.6	37.6132
14:51:31 02/06/2021	1959.7	37.8098
14:51:49 02/06/2021	1772.4	36.5028
14:52:07 02/06/2021	1742.45	37.157
14:52:25 02/06/2021	1912.1	38.4688
14:52:44 02/06/2021	1899.65	39.0846
14:53:02 02/06/2021	1887.25	39.421
14:53:20 02/06/2021	1752.45	39.7674
14:53:38 02/06/2021	1959.65	40.042
14:53:56 02/06/2021	1909.85	40.2586
14:54:14 02/06/2021	1794.75	40.3544
14:54:32 02/06/2021	1992.15	40.3065
14:54:50 02/06/2021	1749.95	40.4174
14:55:08 02/06/2021	1775.0	40.4156
14:55:26 02/06/2021	1842.2	40.4204
14:55:44 02/06/2021	1872.3	40.4974
14:56:02 02/06/2021	1610.05	40.4642
14:56:20 02/06/2021	2129.3	40.4384
14:56:39 02/06/2021	1759.9	40.3955
14:56:57 02/06/2021	1799.8	40.1978
14:57:15 02/06/2021	1907.15	39.8889
14:57:33 02/06/2021	1959.75	38.5183
14:57:51 02/06/2021	2139.3	37.9115
14:58:09 02/06/2021	2084.4	38.4731
14:58:27 02/06/2021	2042.05	38.9051
14:58:45 02/06/2021	1894.75	39.0785
14:59:03 02/06/2021	2122.0	39.1519
14:59:21 02/06/2021	2291.55	39.1597
14:59:39 02/06/2021	1924.6	39.0446
14:59:57 02/06/2021	1882.25	38.8652
15:00:15 02/06/2021	1927.15	38.7654
15:00:33 02/06/2021	2394.05	38.5152
15:00:51 02/06/2021	1622.55	34.7273
15:01:09 02/06/2021	1884.65	34.0344
15:01:27 02/06/2021	2426.45	35.4571
15:01:45 02/06/2021	1937.25	36.1846
15:02:03 02/06/2021	1949.65	36.4969
15:02:21 02/06/2021	1814.8	36.6888
15:02:39 02/06/2021	2114.25	36.7231
15:02:57 02/06/2021	1937.25	36.7933
15:03:15 02/06/2021	1844.65	36.77
15:03:33 02/06/2021	2039.5	36.7381
15:03:51 02/06/2021	1877.2	36.6502
15:04:09 02/06/2021	1972.15	36.5755
15:04:27 02/06/2021	1764.85	36.4594
15:04:46 02/06/2021	1877.2	35.4119
15:05:04 02/06/2021	1799.8	35.0851
15:05:22 02/06/2021	1912.25	35.7362
15:05:40 02/06/2021	1994.5	35.981
15:05:58 02/06/2021	1777.35	35.9637
15:06:16 02/06/2021	1824.8	35.8985
15:06:34 02/06/2021	1892.15	35.8916
15:06:52 02/06/2021	2136.8	36.1068
15:07:10 02/06/2021	1742.6	36.3017
15:07:28 02/06/2021	1762.4	33.6816
15:07:46 02/06/2021	2054.35	35.2211
15:08:04 02/06/2021	1952.0	35.8538
15:08:22 02/06/2021	2129.3	36.183
15:08:40 02/06/2021	1904.7	36.3467
15:08:58 02/06/2021	1690.1	36.5505
15:09:16 02/06/2021	1872.3	36.6388
15:09:34 02/06/2021	2081.95	36.7712
15:09:52 02/06/2021	2091.9	36.9436
15:10:10 02/06/2021	2082.1	37.1409
15:10:28 02/06/2021	1822.4	37.1751
15:10:46 02/06/2021	2106.9	37.1505
15:11:04 02/06/2021	2002.2	37.3043
15:11:22 02/06/2021	1824.85	37.5523
15:11:40 02/06/2021	1989.55	35.4878
15:11:58 02/06/2021	1977.1	35.3381
15:12:16 02/06/2021	1812.25	36.1577
15:12:34 02/06/2021	2204.25	32.3433
15:12:52 02/06/2021	1974.5	33.0986
15:13:10 02/06/2021	2024.6	33.4556
15:13:28 02/06/2021	2096.9	33.5662
15:13:46 02/06/2021	1859.75	33.4824
15:14:04 02/06/2021	1747.5	33.5268
15:14:22 02/06/2021	2032.0	33.7381
15:14:40 02/06/2021	1660.0	34.0267
15:14:58 02/06/2021	1877.25	34.1607
15:15:17 02/06/2021	2129.4	34.2692
15:15:35 02/06/2021	1672.65	34.2366
15:15:53 02/06/2021	1817.45	34.1914
15:16:11 02/06/2021	2177.05	33.9887
15:16:29 02/06/2021	1847.35	33.9644
15:16:47 02/06/2021	1847.45	33.9196
15:17:05 02/06/2021	1602.8	34.6717
15:17:23 02/06/2021	1894.7	35.5834
15:17:41 02/06/2021	1837.45	35.7057
15:17:59 02/06/2021	1687.75	36.0122
15:18:17 02/06/2021	1894.75	36.2764
15:18:35 02/06/2021	1919.8	36.5425
15:18:52 02/06/2021	1702.45	30.1472
15:19:09 02/06/2021	1615.25	30.09
15:19:26 02/06/2021	1882.3	29.9909
15:19:43 02/06/2021	1495.3	29.7404
15:19:59 02/06/2021	1792.3	29.5602
15:20:16 02/06/2021	1942.2	29.5275
15:20:33 02/06/2021	1682.55	29.3292
15:20:50 02/06/2021	1722.45	29.0396
15:21:07 02/06/2021	1560.25	28.8039
15:21:24 02/06/2021	1587.7	28.7597
15:21:40 02/06/2021	1842.35	28.5977
15:21:57 02/06/2021	1697.5	28.3254
15:22:14 02/06/2021	1650.15	28.2367
15:22:31 02/06/2021	1855.0	28.3237
15:22:48 02/06/2021	1812.45	28.2839
15:23:05 02/06/2021	1665.2	28.128
15:23:21 02/06/2021	1854.7	27.8383
15:23:38 02/06/2021	1677.45	27.4886
15:23:55 02/06/2021	1642.55	27.3128
15:24:12 02/06/2021	1632.65	27.4007
15:24:29 02/06/2021	1727.5	27.581
15:24:46 02/06/2021	1700.0	27.7529
15:25:03 02/06/2021	1567.55	27.7537
15:25:19 02/06/2021	1615.2	27.7
15:25:36 02/06/2021	1784.8	27.6819
15:25:53 02/06/2021	1739.9	27.7611
15:26:10 02/06/2021	1627.55	27.9527
15:26:27 02/06/2021	1944.5	28.2621
15:26:44 02/06/2021	1772.45	28.5726
15:27:01 02/06/2021	1547.65	28.814
15:27:17 02/06/2021	1597.7	28.9952
15:27:34 02/06/2021	1627.7	29.0762
15:27:51 02/06/2021	1952.15	29.0141
15:28:08 02/06/2021	1622.55	28.8404
15:28:25 02/06/2021	1820.05	28.8511
15:28:41 02/06/2021	1590.05	28.9261
15:28:57 02/06/2021	1714.85	28.7877
15:29:14 02/06/2021	1747.4	28.5979
15:29:30 02/06/2021	1809.8	28.4732
15:29:46 02/06/2021	1784.85	28.4408
15:30:02 02/06/2021	1677.55	28.3579
15:30:18 02/06/2021	1607.6	28.2399
15:30:34 02/06/2021	1707.5	28.0274
15:30:50 02/06/2021	1552.7	28.0309
15:31:06 02/06/2021	1857.25	28.2438
15:31:22 02/06/2021	1595.15	28.4866
15:31:38 02/06/2021	1777.3	28.6647
15:31:54 02/06/2021	2014.65	28.4274
15:32:10 02/06/2021	1552.6	28.1043
15:32:26 02/06/2021	1602.7	27.7982
15:32:42 02/06/2021	1714.95	27.6857
15:32:58 02/06/2021	1367.9	27.7203
15:33:14 02/06/2021	1575.15	27.6982
15:33:30 02/06/2021	1647.55	27.7981
15:33:46 02/06/2021	1672.5	28.0329
15:34:02 02/06/2021	1592.55	28.2127
15:34:19 02/06/2021	1772.35	28.2235
15:34:35 02/06/2021	1637.6	28.1226
15:34:51 02/06/2021	1712.4	28.0892
15:35:07 02/06/2021	1892.25	28.1174
15:35:23 02/06/2021	1769.85	28.0785
15:35:39 02/06/2021	1532.75	27.9444
15:35:55 02/06/2021	1904.8	27.9268
15:36:11 02/06/2021	1794.9	28.211
15:36:27 02/06/2021	1749.9	28.3748
15:36:43 02/06/2021	1762.5	28.5152
15:36:59 02/06/2021	1587.7	28.6245
15:37:15 02/06/2021	1635.0	28.6676
15:37:31 02/06/2021	1760.05	28.7268
15:37:47 02/06/2021	1660.0	28.7732
15:38:03 02/06/2021	1669.95	28.7457
15:38:19 02/06/2021	1909.65	28.7717
15:38:35 02/06/2021	1997.0	28.7878
15:38:51 02/06/2021	1834.9	28.9027
15:39:07 02/06/2021	1602.75	29.1374
15:39:23 02/06/2021	1662.5	29.3266
15:39:39 02/06/2021	1902.2	29.333
15:39:55 02/06/2021	1512.75	29.3937
15:40:11 02/06/2021	1794.8	29.4806
15:40:27 02/06/2021	1592.65	29.6345
15:40:44 02/06/2021	1804.9	29.5641
15:41:00 02/06/2021	1974.55	29.4625
15:41:16 02/06/2021	1717.35	29.4454
15:41:32 02/06/2021	1587.65	29.2481
15:41:48 02/06/2021	1932.2	29.2694
15:42:04 02/06/2021	2084.45	29.4312
15:42:20 02/06/2021	1572.55	29.5965
15:42:36 02/06/2021	1887.2	29.7581
15:42:52 02/06/2021	1932.15	29.8101
15:43:08 02/06/2021	1829.75	29.7928
15:43:24 02/06/2021	1719.9	29.8147
15:43:40 02/06/2021	1632.6	29.7464
15:43:56 02/06/2021	1667.5	29.6496
15:44:12 02/06/2021	1927.1	29.6691
15:44:28 02/06/2021	1847.3	27.8605
15:44:43 02/06/2021	1390.35	26.175
15:44:58 02/06/2021	1428.0	26.3985
15:45:13 02/06/2021	1550.25	26.4879
15:45:27 02/06/2021	1415.45	26.3612
15:45:42 02/06/2021	1460.3	26.1939
15:45:57 02/06/2021	1755.05	26.1264
15:46:12 02/06/2021	1298.15	26.1553
15:46:27 02/06/2021	1585.0	26.2094
15:46:42 02/06/2021	1530.25	26.2239
15:46:57 02/06/2021	1520.2	26.0947
15:47:11 02/06/2021	1382.95	26.1087
15:47:26 02/06/2021	1642.6	26.0291
15:47:40 02/06/2021	1205.7	22.2234
15:47:54 02/06/2021	1412.95	22.0757
15:48:07 02/06/2021	1400.4	22.0048
15:48:21 02/06/2021	1490.3	21.9465
15:48:34 02/06/2021	1435.4	21.9518
15:48:48 02/06/2021	1572.6	22.0108
15:49:02 02/06/2021	2413.75	22.8474
15:49:15 02/06/2021	1310.5	23.4102
15:49:29 02/06/2021	1515.35	23.7095
15:49:43 02/06/2021	1388.0	23.9665
15:49:56 02/06/2021	1385.35	24.2724
15:50:09 02/06/2021	1155.8	22.8334
15:50:22 02/06/2021	1123.45	21.2938
15:50:34 02/06/2021	1193.2	21.3329
15:50:46 02/06/2021	1043.5	19.8105
15:50:57 02/06/2021	1290.6	18.2784
15:51:07 02/06/2021	886.2	12.8583
15:51:17 02/06/2021	751.35	12.9684
15:51:27 02/06/2021	716.4	13.0327
15:51:37 02/06/2021	636.5	13.2045
15:51:47 02/06/2021	694.0	13.4139
15:51:57 02/06/2021	669.0	10.2577
15:52:05 02/06/2021	576.7	10.4077
15:52:14 02/06/2021	596.55	10.6135
15:52:23 02/06/2021	641.5	10.8102
15:52:32 02/06/2021	664.0	10.979
15:52:41 02/06/2021	576.65	11.0856
15:52:49 02/06/2021	848.75	11.2241
15:52:58 02/06/2021	586.55	11.3782
15:53:07 02/06/2021	896.2	11.5635
15:53:16 02/06/2021	716.45	11.7658
15:53:25 02/06/2021	614.15	11.9699
15:53:34 02/06/2021	599.1	12.1498
15:53:43 02/06/2021	621.6	12.279
15:53:51 02/06/2021	541.75	12.4055
15:54:00 02/06/2021	611.55	12.4973
15:54:09 02/06/2021	564.2	12.6681
15:54:18 02/06/2021	529.25	12.8196
15:54:27 02/06/2021	499.3	12.9489
15:54:36 02/06/2021	661.55	13.0641
15:54:44 02/06/2021	561.7	13.1447
15:54:53 02/06/2021	551.7	13.2132
15:55:02 02/06/2021	609.1	13.2766
15:55:11 02/06/2021	566.7	13.334
15:55:20 02/06/2021	654.0	13.3808
15:55:28 02/06/2021	731.5	13.3766
15:55:37 02/06/2021	559.2	13.3632
15:55:45 02/06/2021	431.9	10.6211
15:55:53 02/06/2021	294.55	7.8723
15:56:01 02/06/2021	339.45	7.8451
15:56:08 02/06/2021	344.45	7.8465
15:56:16 02/06/2021	322.0	7.8358
15:56:24 02/06/2021	287.05	7.8527
15:56:31 02/06/2021	409.4	7.8771
15:56:39 02/06/2021	506.7	7.8975
15:56:46 02/06/2021	359.45	7.962
15:56:54 02/06/2021	374.45	7.9975
15:57:01 02/06/2021	396.95	8.0246
15:57:09 02/06/2021	329.5	8.0148
15:57:17 02/06/2021	401.9	7.9655
15:57:24 02/06/2021	761.45	7.9339
15:57:32 02/06/2021	496.75	7.9045
15:57:39 02/06/2021	419.4	7.8715
15:57:46 02/06/2021	207.2	4.1883
15:57:52 02/06/2021	182.25	4.183
15:57:59 02/06/2021	461.85	4.2041
15:58:05 02/06/2021	746.4	4.2513
15:58:11 02/06/2021	753.9	4.3081
15:58:18 02/06/2021	431.85	4.3849
15:58:24 02/06/2021	202.2	4.4514
15:58:31 02/06/2021	179.7	4.498
15:58:37 02/06/2021	479.3	4.5214
15:58:43 02/06/2021	164.75	4.5675
15:58:50 02/06/2021	162.3	4.617
15:58:56 02/06/2021	197.2	4.6645
15:59:03 02/06/2021	164.75	4.7172
15:59:09 02/06/2021	449.3	4.7575
15:59:15 02/06/2021	187.25	4.8019
15:59:22 02/06/2021	122.3	4.8524
15:59:28 02/06/2021	154.75	4.8896
15:59:35 02/06/2021	134.8	4.9314
15:59:41 02/06/2021	139.8	4.9721
15:59:47 02/06/2021	182.25	4.9785
15:59:54 02/06/2021	207.2	4.9666
16:00:00 02/06/2021	224.65	4.9328
16:00:06 02/06/2021	204.7	4.9003
16:00:13 02/06/2021	172.2	4.8777
